algorithm,seed,year,count
PopK,0,1962,0
PopK,0,1963,0
PopK,0,1964,0
PopK,0,1965,0
PopK,0,1966,0
PopK,0,1967,0
PopK,0,1968,0
PopK,0,1969,0
PopK,0,1970,0
PopK,0,1971,0
PopK,0,1972,0
PopK,0,1973,0
PopK,0,1974,0
PopK,0,1975,0
PopK,0,1976,0
PopK,0,1977,0
PopK,0,1978,0
PopK,0,1979,0
PopK,0,1980,0
PopK,0,1981,0
PopK,0,1982,0
PopK,0,1983,0
PopK,0,1984,0
PopK,0,1985,0
PopK,0,1986,0
PopK,0,1987,0
PopK,0,1988,0
PopK,0,1989,0
PopK,0,1990,0
PopK,0,1991,6395
PopK,0,1992,0
PopK,0,1993,0
PopK,0,1994,19185
PopK,0,1995,0
PopK,0,1996,0
PopK,0,1997,0
PopK,0,1998,0
PopK,0,1999,6395
PopK,0,2000,0
PopK,0,2001,0
PopK,0,2002,0
PopK,0,2003,0
PopK,0,2004,0
PopK,0,2005,0
PopK,0,2006,0
PopK,0,2007,0
PopK,0,2008,0
PopK,0,2009,0
PopK,0,2010,0
PopK,0,2011,0
PopK,0,2012,0
PopK,0,2013,0
PopK,0,2014,0
PopK,0,2015,0
PopK,0,2016,0
PopK,0,2017,0
PopK,0,2018,0
PopK,0,2019,0
random,0,1902,2
random,0,1903,0
random,0,1915,4
random,0,1916,5
random,0,1917,4
random,0,1918,1
random,0,1919,9
random,0,1920,3
random,0,1921,5
random,0,1922,13
random,0,1923,10
random,0,1924,14
random,0,1925,31
random,0,1926,15
random,0,1927,17
random,0,1928,26
random,0,1929,24
random,0,1930,12
random,0,1931,30
random,0,1932,30
random,0,1933,45
random,0,1934,38
random,0,1935,32
random,0,1936,43
random,0,1937,67
random,0,1938,50
random,0,1939,94
random,0,1940,70
random,0,1941,61
random,0,1942,70
random,0,1943,52
random,0,1944,58
random,0,1945,77
random,0,1946,65
random,0,1947,83
random,0,1948,85
random,0,1949,79
random,0,1950,83
random,0,1951,83
random,0,1952,68
random,0,1953,132
random,0,1954,95
random,0,1955,148
random,0,1956,108
random,0,1957,126
random,0,1958,102
random,0,1959,105
random,0,1960,131
random,0,1961,107
random,0,1962,133
random,0,1963,121
random,0,1964,152
random,0,1965,170
random,0,1966,152
random,0,1967,151
random,0,1968,140
random,0,1969,128
random,0,1970,168
random,0,1971,194
random,0,1972,193
random,0,1973,199
random,0,1974,148
random,0,1975,143
random,0,1976,169
random,0,1977,233
random,0,1978,211
random,0,1979,222
random,0,1980,311
random,0,1981,326
random,0,1982,362
random,0,1983,269
random,0,1984,317
random,0,1985,374
random,0,1986,467
random,0,1987,519
random,0,1988,551
random,0,1989,555
random,0,1990,491
random,0,1991,510
random,0,1992,481
random,0,1993,674
random,0,1994,769
random,0,1995,905
random,0,1996,904
random,0,1997,931
random,0,1998,903
random,0,1999,862
random,0,2000,919
random,0,2001,928
random,0,2002,1037
random,0,2003,886
random,0,2004,943
random,0,2005,832
random,0,2006,952
random,0,2007,949
random,0,2008,954
random,0,2009,940
random,0,2010,806
random,0,2011,805
random,0,2012,777
random,0,2013,793
random,0,2014,758
random,0,2015,821
random,0,2016,618
random,0,2017,103
random,0,2018,9
random,0,2019,4
BPR,54425,1902,0
BPR,54425,1903,0
BPR,54425,1915,0
BPR,54425,1916,0
BPR,54425,1917,0
BPR,54425,1918,0
BPR,54425,1919,0
BPR,54425,1920,0
BPR,54425,1921,0
BPR,54425,1922,2
BPR,54425,1923,0
BPR,54425,1924,0
BPR,54425,1925,0
BPR,54425,1926,0
BPR,54425,1927,9
BPR,54425,1928,0
BPR,54425,1929,0
BPR,54425,1930,0
BPR,54425,1931,26
BPR,54425,1932,0
BPR,54425,1933,5
BPR,54425,1934,4
BPR,54425,1935,1
BPR,54425,1936,11
BPR,54425,1937,7
BPR,54425,1938,2
BPR,54425,1939,28
BPR,54425,1940,50
BPR,54425,1941,26
BPR,54425,1942,61
BPR,54425,1943,0
BPR,54425,1944,14
BPR,54425,1945,0
BPR,54425,1946,28
BPR,54425,1947,0
BPR,54425,1948,29
BPR,54425,1949,23
BPR,54425,1950,103
BPR,54425,1951,27
BPR,54425,1952,30
BPR,54425,1953,62
BPR,54425,1954,95
BPR,54425,1955,21
BPR,54425,1956,6
BPR,54425,1957,47
BPR,54425,1958,24
BPR,54425,1959,73
BPR,54425,1960,23
BPR,54425,1961,31
BPR,54425,1962,30
BPR,54425,1963,25
BPR,54425,1964,127
BPR,54425,1965,25
BPR,54425,1966,43
BPR,54425,1967,39
BPR,54425,1968,74
BPR,54425,1969,12
BPR,54425,1970,9
BPR,54425,1971,71
BPR,54425,1972,154
BPR,54425,1973,33
BPR,54425,1974,127
BPR,54425,1975,146
BPR,54425,1976,72
BPR,54425,1977,216
BPR,54425,1978,39
BPR,54425,1979,180
BPR,54425,1980,168
BPR,54425,1981,125
BPR,54425,1982,155
BPR,54425,1983,124
BPR,54425,1984,134
BPR,54425,1985,77
BPR,54425,1986,129
BPR,54425,1987,128
BPR,54425,1988,133
BPR,54425,1989,122
BPR,54425,1990,128
BPR,54425,1991,229
BPR,54425,1992,144
BPR,54425,1993,193
BPR,54425,1994,765
BPR,54425,1995,414
BPR,54425,1996,205
BPR,54425,1997,308
BPR,54425,1998,414
BPR,54425,1999,1227
BPR,54425,2000,906
BPR,54425,2001,1254
BPR,54425,2002,1245
BPR,54425,2003,1577
BPR,54425,2004,1546
BPR,54425,2005,1009
BPR,54425,2006,1940
BPR,54425,2007,1527
BPR,54425,2008,3501
BPR,54425,2009,3683
BPR,54425,2010,2541
BPR,54425,2011,658
BPR,54425,2012,1496
BPR,54425,2013,352
BPR,54425,2014,841
BPR,54425,2015,272
BPR,54425,2016,25
BPR,54425,2017,0
BPR,54425,2018,0
BPR,54425,2019,0
random,54425,1902,1
random,54425,1903,2
random,54425,1915,5
random,54425,1916,1
random,54425,1917,2
random,54425,1918,2
random,54425,1919,4
random,54425,1920,2
random,54425,1921,8
random,54425,1922,17
random,54425,1923,13
random,54425,1924,17
random,54425,1925,29
random,54425,1926,9
random,54425,1927,20
random,54425,1928,15
random,54425,1929,17
random,54425,1930,13
random,54425,1931,31
random,54425,1932,36
random,54425,1933,40
random,54425,1934,36
random,54425,1935,35
random,54425,1936,50
random,54425,1937,60
random,54425,1938,47
random,54425,1939,72
random,54425,1940,71
random,54425,1941,55
random,54425,1942,68
random,54425,1943,73
random,54425,1944,65
random,54425,1945,76
random,54425,1946,67
random,54425,1947,99
random,54425,1948,97
random,54425,1949,91
random,54425,1950,95
random,54425,1951,74
random,54425,1952,68
random,54425,1953,125
random,54425,1954,97
random,54425,1955,145
random,54425,1956,102
random,54425,1957,108
random,54425,1958,101
random,54425,1959,126
random,54425,1960,130
random,54425,1961,110
random,54425,1962,147
random,54425,1963,99
random,54425,1964,150
random,54425,1965,163
random,54425,1966,146
random,54425,1967,162
random,54425,1968,155
random,54425,1969,146
random,54425,1970,177
random,54425,1971,167
random,54425,1972,189
random,54425,1973,191
random,54425,1974,168
random,54425,1975,150
random,54425,1976,159
random,54425,1977,203
random,54425,1978,226
